BatchId;ButterMass;ButterTemperature;SugarMass;SugarHumidity;FlourMass;FlourHumidity;HeatingTime;MixingSpeed;MixingTime
1;121;20;200;0.22;50;0.23;50;Max Speed;200
2;244;23;410;0.19;99;0.21;80;Medium Speed;450
3;110;26;190;0.20;46;0.19;33;Low Speed;210
4;121;20;200;0.22;50;0.23;50;Max Speed;200
5;244;23;410;0.19;99;0.21;80;Medium Speed;450
6;110;26;190;0.20;46;0.19;33;Low Speed;210
7;121;20;200;0.22;50;0.23;50;Max Speed;200
8;244;23;410;0.19;99;0.21;80;Medium Speed;450
9;110;26;190;0.20;46;0.19;33;Low Speed;210
10;121;20;200;0.22;50;0.23;50;Max Speed;200
11;244;23;410;0.19;99;0.21;80;Medium Speed;450
12;110;26;190;0.20;46;0.19;33;Low Speed;210
13;121;20;200;0.22;50;0.23;50;Max Speed;200
14;244;23;410;0.19;99;0.21;80;Medium Speed;450
15;110;26;190;0.20;46;0.19;33;Low Speed;210
