BatchId;TotalVolume;Density;Temperature;Humidity;Energy;Problems
1;305;1.2;45;0.26;0.302;No
2;603;1.4;47;0.24;0.599;Yes, some chunks remain
3;301;1.1;42;0.24;0.312;No
4;305;1.2;45;0.26;0.302;No
5;603;1.4;47;0.24;0.599;Yes, some chunks remain
6;301;1.1;42;0.24;0.312;No
7;305;1.2;45;0.26;0.302;No
8;603;1.4;47;0.24;0.599;Yes, some chunks remain
9;301;1.1;42;0.24;0.312;No
10;305;1.2;45;0.26;0.302;No
11;603;1.4;47;0.24;0.599;Yes, some chunks remain
12;301;1.1;42;0.24;0.312;No
13;305;1.2;45;0.26;0.302;No
14;603;1.4;47;0.24;0.599;Yes, some chunks remain
15;301;1.1;42;0.24;0.312;No
